51	26	220	243	227
10576175	7723286
0	0	0	20	136	40	0	1	1
0	0	40	20	136	80	0	1	1
0	0	80	20	136	120	0	1	1
0	0	120	20	136	160	0	1	1
0	0	160	20	136	200	0	1	1
20	0	0	40	136	40	0	1	1
20	0	40	40	136	80	0	1	1
20	0	80	40	136	120	0	1	1
20	0	120	40	136	160	0	1	1
20	0	160	40	136	200	0	1	1
0	171	0	28	207	130	9	2	1
0	207	0	28	243	130	9	2	1
28	171	0	56	207	130	9	2	1
28	207	0	56	243	130	9	2	1
56	171	0	84	207	130	9	2	1
56	207	0	84	243	130	9	2	1
84	171	0	112	207	130	9	2	1
84	207	0	112	243	130	9	2	1
112	171	0	140	207	130	9	2	1
112	207	0	140	243	130	9	2	1
0	186	130	15	205	223	46	3	2
0	205	130	15	224	223	46	3	2
0	224	130	15	243	223	46	3	2
15	186	130	30	205	223	46	3	2
15	205	130	30	224	223	46	3	2
15	224	130	30	243	223	46	3	2
30	186	130	45	205	223	46	3	2
30	205	130	45	224	223	46	3	2
30	224	130	45	243	223	46	3	2
0	171	130	19	186	223	22	4	2
19	171	130	38	186	223	22	4	2
38	171	130	57	186	223	22	4	2
57	171	130	76	186	223	22	4	2
76	171	130	95	186	223	22	4	2
95	171	130	114	186	223	22	4	2
114	171	130	133	186	223	22	4	2
0	152	0	15	171	93	38	5	2
15	152	0	30	171	93	38	5	2
30	152	0	45	171	93	38	5	2
45	152	0	60	171	93	38	5	2
60	152	0	75	171	93	38	5	2
75	152	0	90	171	93	38	5	2
90	152	0	105	171	93	38	5	2
105	152	0	120	171	93	38	5	2
120	152	0	135	171	93	38	5	2
135	152	0	150	171	93	38	5	2
0	137	0	19	152	93	21	6	2
0	137	93	19	152	186	21	6	2
19	137	0	38	152	93	21	6	2
19	137	93	38	152	186	21	6	2
38	137	0	57	152	93	21	6	2
38	137	93	57	152	186	21	6	2
57	137	0	76	152	93	21	6	2
57	137	93	76	152	186	21	6	2
76	137	0	95	152	93	21	6	2
76	137	93	95	152	186	21	6	2
0	137	186	93	152	205	49	7	2
45	186	130	60	205	223	31	8	2
45	205	130	60	224	223	31	8	2
45	224	130	60	243	223	31	8	2
60	186	130	75	205	223	31	8	2
60	205	130	75	224	223	31	8	2
60	224	130	75	243	223	31	8	2
75	186	130	90	205	223	31	8	2
75	205	130	90	224	223	31	8	2
75	224	130	90	243	223	31	8	2
0	152	93	93	171	108	40	9	2
0	152	108	93	171	123	40	9	2
0	152	123	93	171	138	40	9	2
0	152	138	93	171	153	40	9	2
0	152	153	93	171	168	40	9	2
0	152	168	93	171	183	40	9	2
0	152	183	93	171	198	40	9	2
0	152	198	93	171	213	40	9	2
90	186	130	105	205	223	44	10	2
90	205	130	105	224	223	44	10	2
90	224	130	105	243	223	44	10	2
105	186	130	120	205	223	44	10	2
105	205	130	120	224	223	44	10	2
105	224	130	120	243	223	44	10	2
