51	26

220	243	227

0	136	1	40	1	20	1	10	10000	18	125	1	1	0	

1	81	0	27	1	19	1	10	10000	0	0	0	2	0	

2	118	1	42	1	25	1	10	10000	40000	3809523	807102	3	0	

3	89	1	48	1	29	1	10	10000	40000	2873563	936329	4	0	

4	125	1	35	1	17	1	10	10000	40000	6722689	914285	5	0	

5	88	1	24	1	18	1	10	10000	40000	9259259	1893939	6	0	

6	108	1	30	1	25	1	10	10000	40000	5333333	1234567	7	0	

7	87	1	36	1	15	1	10	10000	40000	7407407	1277139	8	0	

8	94	1	24	1	26	1	10	10000	40000	6410256	1773049	9	0	

9	130	1	36	1	28	1	10	10000	40000	3968254	854700	1	0	

10	72	1	32	1	22	1	10	10000	40000	5681818	1736111	2	0	

11	117	1	31	1	17	1	10	10000	40000	7590133	1102839	2	0	

12	66	1	44	1	18	1	10	10000	40000	5050505	1377410	2	0	

13	125	1	26	1	24	1	10	10000	40000	6410256	1230769	2	0	

14	93	1	19	1	15	1	10	10000	40000	1,403509E+07	2263723	2	0	

15	66	1	44	1	15	1	10	10000	40000	6060606	1377410	3	0	

16	66	1	27	1	17	1	10	10000	40000	8714597	2244669	3	0	

17	94	1	26	1	18	1	10	10000	40000	8547009	1636661	3	0	

18	139	1	21	1	15	1	10	10000	40000	1,269841E+07	1370332	3	0	

19	147	1	40	1	22	1	10	10000	40000	4545454	680272	3	0	

20	135	1	45	1	27	1	10	10000	40000	3292181	658436	4	0	

21	136	1	46	1	16	1	10	10000	40000	5434782	639386	4	0	

22	92	1	16	1	17	1	10	10000	40000	1,470588E+07	2717391	4	0	

23	114	1	38	1	28	1	10	10000	40000	3759398	923361	4	0	

24	71	1	45	1	30	1	10	10000	40000	2962963	1251956	4	0	

25	97	1	39	1	18	1	10	10000	40000	5698005	1057361	5	0	

26	113	1	21	1	26	1	10	10000	40000	7326007	1685630	5	0	

27	78	1	21	1	27	1	10	10000	40000	7054673	2442002	5	0	

28	122	1	24	1	24	1	10	10000	40000	6944444	1366120	5	0	

29	57	1	16	1	16	1	10	10000	40000	1,5625E+07	4385965	5	0	

30	75	1	43	1	26	1	10	10000	40000	3577817	1240310	5	0	

31	102	1	18	1	26	1	10	10000	40000	8547009	2178649	6	0	

32	98	1	34	1	25	1	10	10000	40000	4705882	1200480	7	0	

33	63	1	49	1	29	1	10	10000	40000	2814919	1295756	8	0	

34	132	1	47	1	19	1	10	10000	40000	4479283	644745	9	0	

35	116	1	31	1	27	1	10	10000	40000	4778972	1112347	10	0	

36	120	1	48	1	30	1	10	10000	40000	2777777	694444	11	0	

37	108	1	21	1	20	1	10	10000	40000	9523810	1763668	12	0	

38	132	1	46	1	22	1	10	10000	40000	3952569	658761	13	0	

39	67	1	28	1	17	1	10	10000	40000	8403361	2132196	14	0	

40	113	1	31	1	24	1	10	10000	40000	5376344	1141878	15	0	

41	88	1	47	1	26	1	10	10000	40000	3273322	967118	16	0	

42	129	1	49	1	24	1	10	10000	40000	3401360	632811	17	0	

43	145	1	19	1	23	1	10	10000	40000	9153318	1451905	18	0	

44	63	1	26	1	23	1	10	10000	40000	6688963	2442002	19	0	

45	136	1	22	1	25	1	10	10000	40000	7272727	1336898	20	0	

46	75	1	42	1	15	1	10	10000	40000	6349206	1269841	21	0	

47	67	1	40	1	26	1	10	10000	40000	3846153	1492537	22	0	

48	81	1	26	1	30	1	10	10000	40000	5128205	1899335	23	0	

49	70	1	24	1	18	1	10	10000	40000	9259259	2380952	24	0	

50	85	1	30	1	16	1	10	10000	40000	8333333	1568627	25	0	

